name,position,team,price_eur,max_price,min_price,status,playerId,remote_player,teamId,remote_team,url,lastMarket_1d,lastMarket_3d,lastMarket_7d,injured,doubt
Álvaro Núñez,defensa,Celta,650000,650000,440000,Disponible,155916,37719,7,5,alvaro-nunez,60000,170000,210000,0,0
Moscardo,mediocentro,Espanyol,630000,1260000,620000,Disponible,158058,42412,10,7,moscardo,10000,10000,10000,0,0
Álvaro Fidalgo,mediocentro,Betis,630000,1140000,630000,Disponible,156537,39966,6,87,alvaro-fidalgo,0,-20000,-50000,0,0
Hugo Rincón,defensa,Athletic,620000,950000,620000,Disponible,156065,37898,1,1,hugo-rincon,-30000,-50000,-70000,0,0
De Jong,mediocentro,Barcelona,610000,5370000,610000,rotura del ligamento lateral interno de la rodilla derecha,6159,18174,5,3,de-jong,0,0,-20000,1,0
Bauzà,mediocentro,Espanyol,590000,600000,170000,Disponible,154806,10997,10,7,bauza,-10000,-10000,20000,0,0
Neto,mediocentro,Elche,590000,820000,390000,Disponible,156259,38355,162,75,neto,-10000,-30000,-50000,0,0
Kumbulla,defensa,Rayo Vallecano,580000,1070000,580000,molestias en el aductor,154530,34080,106,70,kumbulla,-10000,-30000,-70000,0,1
Rodrygo,delantero,Real Madrid,570000,970000,570000,rotura del ligamento cruzado anterior y la rotura del menisco externo de la pierna derecha,6163,18178,2,15,rodrygo,0,0,0,1,0
Kike García,delantero,Espanyol,560000,1710000,560000,Lesión en el tendón del bíceps femoral ,201,742,10,7,kike-garcia,-10000,-30000,-50000,1,0
Ponce,delantero,Elche,560000,710000,540000,Disponible,244,5534,162,75,ponce,0,0,20000,0,0
Pedro Felipe,defensa,Racing,550000,690000,280000,Disponible,158125,33871,878,812,pedro-felipe,0,30000,60000,0,0
Eddahchouri,delantero,Deportivo,540000,750000,430000,Disponible,157802,41073,8,6,eddahchouri,40000,40000,20000,0,0
Rafa Rodríguez,mediocentro,Málaga,530000,530000,290000,Disponible,157828,41092,14,65,rafa-rodriguez,0,0,20000,0,0
Bouare,mediocentro,Rayo Vallecano,520000,520000,260000,Disponible,158238,43172,106,70,bouare,40000,140000,230000,0,0
Corberán,entrenador,Valencia,510000,630000,360000,Disponible,154683,35316,19,18,corberan,-10000,-30000,-50000,0,0
Pitarch,mediocentro,Real Madrid,500000,1640000,500000,Lesión en la rodilla,156567,27271,2,15,pitarch,0,0,-20000,0,1
San José,entrenador,Rayo Vallecano,500000,550000,410000,Disponible,157812,41088,106,70,san-jose,0,-10000,-20000,0,0
Arnau Ortiz,delantero,Atlético,490000,670000,310000,Disponible,153196,30802,4,2,arnau-ortiz,-20000,-40000,-60000,0,0
Johaneko,defensa,Athletic,490000,490000,290000,Disponible,158237,43171,1,1,johaneko,20000,50000,90000,0,0
Miguel Rodríguez,delantero,Alavés,490000,1620000,490000,Disponible,152952,29446,3,91,miguel-rodriguez,-10000,-30000,-50000,0,0
